Train Epoch: 0 [batch-idx: 0] nll:  842303.812500,  kl:  3.133789,  marg:  55.077721, S_accuracy:  18.7500%
Train Epoch: 0 [batch-idx: 100] nll:  168532.562500,  kl:  8.048828,  marg:  15.155521, S_accuracy:  18.5179%
Train Epoch: 0 [batch-idx: 200] nll:  168516.703125,  kl:  8.187500,  marg:  3.202570, S_accuracy:  16.5734%
Train Epoch: 0 [batch-idx: 300] nll:  167912.703125,  kl:  8.441406,  marg:  2.252553, S_accuracy:  16.6061%
Train Epoch: 0 [batch-idx: 400] nll:  146053.531250,  kl:  15.003906,  marg:  0.937187, S_accuracy:  17.3960%
Train Epoch: 1 [batch-idx: 0] nll:  153374.343750,  kl:  19.640625,  marg:  2.239337, S_accuracy:  20.3125%
Train Epoch: 1 [batch-idx: 100] nll:  148099.406250,  kl:  28.787109,  marg:  1.214072, S_accuracy:  28.2256%
Train Epoch: 1 [batch-idx: 200] nll:  102901.679688,  kl:  55.988281,  marg:  2.660924, S_accuracy:  34.5616%
Train Epoch: 1 [batch-idx: 300] nll:  74264.218750,  kl:  95.658203,  marg:  1.598128, S_accuracy:  43.4956%
Train Epoch: 1 [batch-idx: 400] nll:  47432.906250,  kl:  153.062500,  marg:  2.009123, S_accuracy:  52.1139%
Train Epoch: 2 [batch-idx: 0] nll:  34656.117188,  kl:  192.147461,  marg:  1.600266, S_accuracy:  91.4062%
Train Epoch: 2 [batch-idx: 100] nll:  33004.453125,  kl:  244.293945,  marg:  1.568890, S_accuracy:  93.4715%
Train Epoch: 2 [batch-idx: 200] nll:  18262.839844,  kl:  284.184570,  marg:  0.844963, S_accuracy:  93.8005%
Train Epoch: 2 [batch-idx: 300] nll:  11704.360352,  kl:  325.740234,  marg:  0.859397, S_accuracy:  94.3340%
Train Epoch: 2 [batch-idx: 400] nll:  11772.183594,  kl:  377.340820,  marg:  1.169843, S_accuracy:  94.6131%
Train Epoch: 3 [batch-idx: 0] nll:  12102.781250,  kl:  404.625000,  marg:  1.334604, S_accuracy:  98.4375%
Train Epoch: 3 [batch-idx: 100] nll:  11618.787109,  kl:  445.238281,  marg:  1.102020, S_accuracy:  97.2153%
Train Epoch: 3 [batch-idx: 200] nll:  13841.621094,  kl:  488.580078,  marg:  1.021933, S_accuracy:  97.2598%
Train Epoch: 3 [batch-idx: 300] nll:  5754.736816,  kl:  532.192383,  marg:  1.061180, S_accuracy:  97.3500%
Train Epoch: 3 [batch-idx: 400] nll:  5493.310547,  kl:  577.078125,  marg:  0.888156, S_accuracy:  97.3426%
Train Epoch: 4 [batch-idx: 0] nll:  1823.130249,  kl:  607.878906,  marg:  0.691045, S_accuracy:  100.0000%
Train Epoch: 4 [batch-idx: 100] nll:  4393.406738,  kl:  665.861328,  marg:  0.845841, S_accuracy:  98.5845%
Train Epoch: 4 [batch-idx: 200] nll:  3213.278320,  kl:  714.312500,  marg:  0.755545, S_accuracy:  98.5930%
Train Epoch: 4 [batch-idx: 300] nll:  8022.076172,  kl:  760.447266,  marg:  0.671839, S_accuracy:  98.5180%
Train Epoch: 4 [batch-idx: 400] nll:  5334.536621,  kl:  809.224609,  marg:  0.726298, S_accuracy:  98.4784%
Train Epoch: 5 [batch-idx: 0] nll:  4210.856934,  kl:  840.778320,  marg:  0.675559, S_accuracy:  99.2188%
Train Epoch: 5 [batch-idx: 100] nll:  1602.959839,  kl:  891.853516,  marg:  0.664397, S_accuracy:  99.2806%
Train Epoch: 5 [batch-idx: 200] nll:  4813.239746,  kl:  939.518555,  marg:  0.610972, S_accuracy:  99.2188%
Train Epoch: 5 [batch-idx: 300] nll:  1574.353638,  kl:  985.123047,  marg:  0.485220, S_accuracy:  99.2317%
